userid,taskid
1,T000036
1,T000040
1,T000041
1,T000042
1,T000044
1,T000045
1,T000046
1,T000047
1,T000048
1,T000049
1,T000050
1,T000051
1,T000052
1,T000053
1,T000054
1,T000056
1,T000057
1,T000058
1,T000059
1,T000060
1,T000061
1,T000062
1,T000078
1,T000077
1,T000076
1,T000075
1,T000074
1,T000073
1,T000071
1,T000070
1,T000069
1,T000063
1,T000065
1,T000066
1,T000067
1,T000068
1,T001631
1,T001629
1,T001628
1,T000312
1,T000311
1,T000310
1,T000309
1,T000307
1,T000306
1,T000305
1,T000304
1,T000303
1,T000302
1,T000301
1,T000299
1,T000298
1,T000297
1,T000295
1,T000294
1,T000292
1,T000291
1,T000289
1,T000288
1,T000286
1,T000212
1,T001617
1,T001615
1,T001614
1,T001612
1,T001611
1,T001610
1,T001609
1,T001608
1,T001607
1,T001606
1,T001604
1,T001603
1,T001602
1,T001600
1,T000287
1,T001921
1,T001920
1,T001918
1,T001917
1,T001916
1,T001915
1,T001914
1,T001911
1,T001942
1,T001947
1,T001943
1,T001944
1,T001945
1,T001956
2,T000036
2,T000040
2,T000041
2,T000042
2,T000043
2,T000044
2,T000045
2,T000047
2,T000048
2,T000049
2,T000050
2,T000052
2,T000053
2,T000054
2,T000055
2,T000056
2,T000057
2,T000058
2,T000059
2,T000060
2,T000061
2,T000062
2,T000078
2,T000077
2,T000076
2,T000075
2,T000073
2,T000072
2,T000071
2,T000070
2,T000069
2,T000063
2,T000064
2,T000065
2,T000066
2,T000067
2,T000068
2,T001631
2,T001630
2,T001629
2,T001628
2,T000312
2,T000311
2,T000310
2,T000309
2,T000306
2,T000305
2,T000304
2,T000303
2,T000302
2,T000301
2,T000298
2,T000297
2,T000295
2,T000294
2,T000293
2,T000292
2,T000289
2,T000288
2,T000286
2,T000212
2,T001617
2,T001616
2,T001615
2,T001614
2,T001612
2,T001611
2,T001610
2,T001609
2,T001608
2,T001606
2,T001604
2,T001603
2,T001602
2,T001601
2,T001600
2,T000287
2,T001921
2,T001919
2,T001918
2,T001917
2,T001915
2,T001914
2,T001911
2,T001942
2,T001947
2,T001944
2,T001945
2,T001946
2,T001956
3,T000040
3,T000041
3,T000042
3,T000043
3,T000044
3,T000045
3,T000046
3,T000047
3,T000048
3,T000050
3,T000051
3,T000052
3,T000054
3,T000055
3,T000056
3,T000057
3,T000058
3,T000059
3,T000060
3,T000062
3,T000078
3,T000077
3,T000076
3,T000075
3,T000074
3,T000072
3,T000071
3,T000070
3,T000069
3,T000063
3,T000064
3,T000065
3,T000066
3,T000067
3,T000068
3,T001631
3,T001630
3,T001629
3,T000312
3,T000311
3,T000310
3,T000309
3,T000308
3,T000307
3,T000306
3,T000305
3,T000304
3,T000303
3,T000301
3,T000299
3,T000298
3,T000297
3,T000295
3,T000294
3,T000293
3,T000292
3,T000291
3,T000289
3,T000288
3,T000286
3,T001617
3,T001615
3,T001614
3,T001613
3,T001612
3,T001611
3,T001610
3,T001609
3,T001608
3,T001607
3,T001604
3,T001603
3,T001602
3,T001601
3,T001600
3,T000287
3,T001921
3,T001919
3,T001918
3,T001917
3,T001916
3,T001914
3,T001911
3,T001942
3,T001947
3,T001943
3,T001944
3,T001945
3,T001946
3,T001956
4,T001942
4,T001943
4,T001944
4,T001945
4,T001946
4,T001956
4,T001920
4,T001919
4,T001918
4,T001917
4,T001916
4,T001915
4,T001914
4,T001911
4,T001616
4,T001615
4,T001614
4,T001613
4,T001612
4,T001611
4,T001610
4,T001609
4,T001608
4,T001607
4,T001604
4,T001603
4,T001602
4,T001601
4,T001600
4,T000287
4,T000036
4,T000041
4,T000042
4,T000043
4,T000044
4,T000046
