날짜,칼로리 소모량,걸음 수,이동 거리,층수,정적인 시간(분),약간 활동적인 시간(분),상당히 활동적인 시간(분),매우 활동적인 시간(분),활동 칼로리
"2021. 1. 29.","2,230","6,304","4.79","0","792","159","0","0","726"
"2021. 1. 30.","2,883","13,187","9.33","0","671","348","26","25","1,639"
"2021. 1. 31.","2,756","12,702","8.74","0","544","352","14","8","1,535"
"2021. 2. 1.","2,674","9,775","6.81","0","861","294","13","9","1,299"
"2021. 2. 2.","1,667","538","0.37","0","908","35","0","0","124"
"2021. 2. 3.","1,746","2,331","1.6","0","1,382","39","12","7","261"
"2021. 2. 4.","2,507","8,952","6.29","0","877","215","9","19","1,055"
"2021. 2. 5.","2,301","6,717","4.66","0","721","165","12","20","827"
"2021. 2. 6.","2,948","14,647","10.14","0","1,033","364","19","24","1,731"
"2021. 2. 7.","3,021","14,794","10.28","0","781","306","40","43","1,799"
"2021. 2. 8.","2,391","6,043","4.28","0","934","182","10","10","903"
"2021. 2. 9.","2,535","8,825","6.25","0","678","191","16","23","1,050"
"2021. 2. 10.","2,014","3,221","2.21","0","1,302","138","0","0","510"
"2021. 2. 11.","2,600","10,376","7.32","0","816","305","13","15","1,298"
"2021. 2. 12.","2,925","15,204","10.92","0","585","305","28","54","1,700"
"2021. 2. 13.","2,949","15,674","11.53","0","640","311","21","42","1,668"
"2021. 2. 14.","2,572","9,713","6.81","0","841","273","4","8","1,201"
"2021. 2. 15.","2,559","10,511","8.18","0","1,195","193","22","30","1,130"
"2021. 2. 16.","2,122","4,092","2.8","0","1,135","188","0","0","650"
"2021. 2. 17.","2,831","11,458","8.62","0","718","244","22","29","1,408"
"2021. 2. 18.","2,531","9,541","6.53","0","912","263","14","1","1,123"
"2021. 2. 19.","2,996","16,564","11.66","0","1,058","289","44","49","1,748"
"2021. 2. 20.","2,526","10,099","7.41","0","657","217","14","30","1,191"
"2021. 2. 21.","3,137","15,262","10.45","0","375","309","83","32","1,912"
"2021. 2. 22.","2,627","8,910","6.17","0","698","253","7","2","1,170"
"2021. 2. 23.","2,440","7,715","5.94","0","780","170","6","28","946"
"2021. 2. 24.","1,770","1,198","0.82","0","778","67","1","0","223"
"2021. 2. 25.","2,087","3,142","2.15","0","1,097","154","5","6","615"
"2021. 2. 26.","2,438","6,426","4.4","0","806","280","12","2","1,074"
"2021. 2. 27.","2,373","9,724","6.31","0","694","241","18","1","1,067"
"2021. 2. 28.","2,843","13,580","9.4","0","508","255","56","41","1,570"
"2021. 3. 1.","2,343","7,294","5","0","1,083","266","0","0","989"
"2021. 3. 2.","2,723","14,295","9.9","0","765","271","19","30","1,445"
"2021. 3. 3.","1,798","1,642","1.12","0","1,351","89","0","0","293"
"2021. 3. 4.","2,296","7,297","5.29","0","894","178","9","21","845"
"2021. 3. 5.","2,057","4,413","3.02","0","884","142","0","0","591"
"2021. 3. 6.","2,744","14,774","11.3","0","890","269","11","64","1,494"
"2021. 3. 7.","3,061","17,318","11.84","0","619","441","13","11","1,936"
"2021. 3. 8.","2,179","3,698","2.53","0","719","203","0","0","717"
"2021. 3. 9.","1,844","1,675","1.15","0","1,022","97","0","0","332"
"2021. 3. 10.","2,561","10,490","7.6","0","840","198","12","34","1,125"
"2021. 3. 11.","2,327","6,904","4.85","0","1,231","191","6","12","870"
"2021. 3. 12.","1,934","2,528","1.67","0","1,342","98","0","0","454"
"2021. 3. 13.","2,501","10,592","7.36","0","786","310","3","8","1,232"
"2021. 3. 14.","2,692","14,744","10.1","0","1,033","407","0","0","1,557"
"2021. 3. 15.","2,177","7,911","5.41","0","1,239","170","3","28","826"
"2021. 3. 16.","1,960","4,673","3.54","0","1,340","84","1","15","468"
"2021. 3. 17.","2,386","7,161","4.92","0","1,184","256","0","0","996"
"2021. 3. 18.","2,109","5,719","3.9","0","1,302","106","20","12","620"
"2021. 3. 19.","2,024","4,536","3.1","0","1,312","110","7","11","539"
"2021. 3. 20.","2,364","9,230","6.29","0","1,202","192","26","20","1,005"
"2021. 3. 21.","1,878","2,953","2.02","0","1,259","89","0","0","351"
"2021. 3. 22.","3,130","19,891","13.74","0","1,016","311","53","60","1,938"
"2021. 3. 23.","2,463","9,986","6.96","0","1,171","219","26","24","1,117"
"2021. 3. 24.","1,834","2,930","2.01","0","893","80","3","6","338"
"2021. 3. 25.","2,582","7,618","5.28","0","875","231","11","16","1,133"
"2021. 3. 26.","2,605","10,620","7.75","0","790","230","19","25","1,219"
"2021. 3. 27.","2,498","9,542","5.93","0","1,146","285","1","8","1,180"
"2021. 3. 28.","2,301","7,323","5.21","0","1,197","220","16","7","946"
"2021. 3. 29.","2,102","5,053","3.57","0","1,119","111","2","12","586"
"2021. 3. 30.","2,378","8,261","5.56","0","1,148","201","8","14","937"
"2021. 3. 31.","2,402","8,498","5.82","0","857","164","18","36","941"
"2021. 4. 1.","2,483","9,934","6.75","0","1,201","206","9","24","1,042"
"2021. 4. 2.","1,897","3,829","2.77","0","1,352","79","3","6","388"
"2021. 4. 3.","2,913","12,198","8.29","0","1,042","351","19","28","1,684"
"2021. 4. 4.","2,526","9,992","6.84","0","816","266","16","27","1,213"
"2021. 4. 5.","2,700","11,589","8.02","0","1,147","232","19","42","1,320"
"2021. 4. 6.","2,081","3,442","2.36","0","1,039","156","0","0","559"
"2021. 4. 7.","2,710","7,889","5.4","0","1,190","152","39","59","1,288"
"2021. 4. 8.","2,055","5,237","3.58","0","1,332","78","15","15","538"
"2021. 4. 9.","1,838","2,030","1.39","0","1,357","83","0","0","310"
"2021. 4. 10.","2,571","10,408","7.17","0","962","290","19","10","1,265"
"2021. 4. 11.","2,390","10,170","6.96","0","1,134","289","4","13","1,140"
"2021. 4. 12.","2,691","8,896","6.32","0","744","256","15","17","1,254"
"2021. 4. 14.","2,509","7,556","5.23","0","948","255","5","2","1,057"
"2021. 4. 15.","2,090","3,033","2.08","0","733","163","0","0","581"
"2021. 4. 16.","2,286","5,252","3.56","0","915","193","9","7","794"
"2021. 4. 17.","2,159","4,760","3.23","0","649","208","0","0","735"
"2021. 4. 18.","2,162","3,517","2.41","0","878","196","0","0","683"
"2021. 4. 19.","2,085","5,061","3.44","0","890","161","0","0","639"
"2021. 4. 22.","2,287","7,042","5.04","0","1,282","128","12","18","784"
"2021. 4. 23.","2,515","7,487","5.3","0","993","167","19","34","1,014"
